strength,age_3.0,age_7.0,age_14.0,age_28.0,age_56.0,age_90.0,age_91.0,age_100.0,age_120.0,age_129.5,age_nan,cement_slag,cement_ash,water_fineeg,ash_superplastic
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.0174770211614572,-0.0294770697346783,-0.0190650764007704,0.0320484549602465
